week,category,weekly_rank,show_title,season_title,weekly_hours_viewed,weekly_views
2023-11-26,tv (english),6,young sheldon,Young Sheldon: Season 1,15000000,2100000.0
2023-11-26,tv (english),7,scott pilgrim takes off,Scott Pilgrim Takes Off: Season 1,7400000,2000000.0
2023-11-26,tv (english),8,first wives club,First Wives Club: Season 1,6600000,1700000.0
2023-11-26,tv (english),9,escaping twin flames,Escaping Twin Flames: Season 1,4800000,1600000.0
2023-11-26,tv (english),10,mike birbiglia the old man and the pool,,2100000,1600000.0
2023-11-26,tv (non-english),1,a nearly normal family,A Nearly Normal Family: Limited Series,29000000,6400000.0
2023-11-26,tv (non-english),2,criminal code,Criminal Code: Season 1,41000000,5300000.0
2023-11-26,tv (non-english),3,the railway men the untold story of bhopal 1984,The Railway Men - The Untold Story Of Bhopal 1984: Limited Series,18100000,4600000.0
2023-11-26,tv (non-english),4,my demon,My Demon: Season 1,6700000,3000000.0
2023-11-26,tv (non-english),5,nothing to see here,Nothing to See Here: Season 1,8100000,2400000.0
2023-11-26,tv (non-english),6,squid game,Squid Game: Season 1,13300000,1600000.0
2023-11-26,tv (non-english),7,castaway diva,Castaway Diva: Limited Series,16700000,1600000.0
2023-11-26,tv (non-english),8,strong girl namsoon,Strong Girl Nam-soon: Limited Series,24500000,1500000.0
2023-11-26,tv (non-english),9,holy family,Holy Family: Season 2,7300000,1400000.0
2023-11-26,tv (non-english),10,suburræterna,Suburræterna: Season 1,7400000,1200000.0
2023-11-19,films (english),1,the killer,,44500000,22300000.0
2023-11-19,films (english),2,best christmas ever,,22300000,16300000.0
2023-11-19,films (english),3,monster hunter,,10500000,6100000.0
2023-11-19,films (english),4,locked in,,8200000,5100000.0
2023-11-19,films (english),5,f9 the fast saga,,10200000,4300000.0
2023-11-19,films (english),6,lone survivor,,8000000,4000000.0
2023-11-19,films (english),7,cold pursuit,,5900000,3000000.0
2023-11-19,films (english),8,paw patrol the movie,,3800000,2700000.0
2023-11-19,films (english),9,pain hustlers,,5500000,2600000.0
2023-11-19,films (english),10,see you on venus,,4000000,2500000.0
2023-11-19,films (non-english),1,believer 2,,10900000,5600000.0
2023-11-19,films (non-english),2,wingwomen,,8900000,4600000.0
2023-11-19,films (non-english),3,alltime high,,4700000,2700000.0
2023-11-19,films (non-english),4,summer vacation,,3700000,2200000.0
2023-11-19,films (non-english),5,jawan extended cut,,5600000,2000000.0
2023-11-19,films (non-english),6,burning betrayal,,3100000,1900000.0
2023-11-19,films (non-english),7,in love and deep water,,3200000,1500000.0
2023-11-19,films (non-english),8,nowhere,,2600000,1400000.0
2023-11-19,films (non-english),9,the claus family 3,,1700000,1400000.0
2023-11-19,films (non-english),10,forgotten love,,2300000,1000000.0
2023-11-19,tv (english),1,the crown,The Crown: Season 6,36900000,11100000.0
2023-11-19,tv (english),2,matt rife natural selection,,7900000,7400000.0
2023-11-19,tv (english),3,all the light we cannot see,All the Light We Cannot See: Limited Series,21700000,5700000.0
2023-11-19,tv (english),4,how to become a mob boss,How to Become a Mob Boss: Season 1,11900000,3900000.0
2023-11-19,tv (english),5,escaping twin flames,Escaping Twin Flames: Season 1,9400000,3200000.0
2023-11-19,tv (english),6,selling sunset,Selling Sunset: Season 7,18300000,2400000.0
2023-11-19,tv (english),7,robbie williams,Robbie Williams: Limited Series,7300000,2200000.0
2023-11-19,tv (english),8,unicorn academy,Unicorn Academy: Chapter 1,9800000,2100000.0
2023-11-19,tv (english),9,life on our planet,Life on Our Planet: Season 1,13700000,2000000.0
2023-11-19,tv (english),10,blue eye samurai,BLUE EYE SAMURAI: Season 1,12300000,1900000.0
2023-11-19,tv (non-english),1,criminal code,Criminal Code: Season 1,50800000,6500000.0
2023-11-19,tv (non-english),2,suburræterna,Suburræterna: Season 1,15400000,2600000.0
2023-11-19,tv (non-english),3,the billionaire the butler and the boyfriend,"The Billionaire, The Butler, and the Boyfriend: Limited Series",5300000,2100000.0
2023-11-19,tv (non-english),4,the tailor,The Tailor: Season 3,10200000,2000000.0
2023-11-19,tv (non-english),5,castaway diva,Castaway Diva: Limited Series,15200000,2000000.0
2023-11-19,tv (non-english),6,daily dose of sunshine,Daily Dose of Sunshine: Season 1,23500000,1800000.0
2023-11-19,tv (non-english),7,strong girl namsoon,Strong Girl Nam-soon: Limited Series,23700000,1600000.0
2023-11-19,tv (non-english),8,the railway men the untold story of bhopal 1984,The Railway Men - The Untold Story Of Bhopal 1984: Limited Series,6500000,1600000.0
2023-11-19,tv (non-english),9,lupin,Lupin: Part 3,8500000,1500000.0
2023-11-19,tv (non-english),10,cigarette girl,Cigarette Girl: Season 1,8200000,1500000.0
2023-11-12,films (english),1,the killer,,55700000,27900000.0
2023-11-12,films (english),2,locked in,,21400000,13200000.0
2023-11-12,films (english),3,f9 the fast saga,,24900000,10400000.0
2023-11-12,films (english),4,sly,,9500000,5900000.0
2023-11-12,films (english),5,nyad,,11700000,5800000.0
2023-11-12,films (english),6,pain hustlers,,10600000,5100000.0
2023-11-12,films (english),7,spiderman across the spiderverse,,10200000,4400000.0
2023-11-12,films (english),8,deep fear,,6100000,4300000.0
2023-11-12,films (english),9,13 hours the secret soldiers of benghazi,,9900000,4100000.0
2023-11-12,films (english),10,cold pursuit,,6700000,3400000.0
2023-11-12,films (non-english),1,wingwomen,,22500000,11600000.0
2023-11-12,films (non-english),2,summer vacation,,9000000,5400000.0
2023-11-12,films (non-english),3,jawan extended cut,,10600000,3700000.0
2023-11-12,films (non-english),4,the claus family 3,,3400000,2800000.0
2023-11-12,films (non-english),5,burning betrayal,,4300000,2600000.0
2023-11-12,films (non-english),6,nowhere,,2900000,1600000.0
2023-11-12,films (non-english),7,sister death,,2000000,1300000.0
2023-11-12,films (non-english),8,ransomed,,2800000,1300000.0
2023-11-12,films (non-english),9,irugapatru,,3000000,1200000.0
2023-11-12,films (non-english),10,forgotten love,,2700000,1200000.0
2023-11-12,tv (english),1,all the light we cannot see,All the Light We Cannot See: Limited Series,38700000,10100000.0
2023-11-12,tv (english),2,selling sunset,Selling Sunset: Season 7,30000000,4700000.0
2023-11-12,tv (english),3,escaping twin flames,Escaping Twin Flames: Season 1,11900000,4100000.0
2023-11-12,tv (english),4,robbie williams,Robbie Williams: Limited Series,13100000,3900000.0
2023-11-12,tv (english),5,unicorn academy,Unicorn Academy: Chapter 1,15300000,3300000.0
2023-11-12,tv (english),6,blue eye samurai,BLUE EYE SAMURAI: Season 1,18100000,2900000.0
