CATEGORY,SHOW_TITLE,VIEWS_FIRST3WEEKS,HOURS_FIRST3WEEKS,BEST_RANK,VIEWS_WEEKS4TO13
tv (non-english),the snitch cartel origins,0,65870000,1,0
tv (non-english),the unbroken voice,0,64890000,1,0
tv (non-english),til money do us part,0,125590000,1,0
tv (non-english),triptych,0,105160000,1,0
tv (non-english),valeria,0,34260000,3,2600000
films (english),chupa,0,60630000,2,0
films (english),despicable me 2,0,38930000,3,8200000
films (english),enola holmes 2,0,148360000,1,0
films (english),man on fire,0,33710000,3,3900000
films (english),minions the rise of gru,0,38820000,3,0
films (english),murder mystery,0,51430000,2,0
films (english),my little pony a new generation,0,53390000,2,0
films (english),shooter,0,27640000,2,2300000
films (english),sonic the hedgehog,0,34360000,2,0
films (english),trolls,0,26600000,7,0
films (non-english),bhool bhulaiyaa 2,0,20100000,1,0
films (non-english),dhamaka,0,11370000,5,0
films (non-english),fck love too,0,28760000,2,0
films (non-english),honeymoon with my mother,0,40320000,2,0
films (non-english),love tactics,0,31440000,1,0
films (non-english),the trip,0,18250000,2,0
tv (english),bling empire,0,41190000,5,0
tv (english),emily in paris,0,217660000,2,0
tv (english),firefly lane,0,100300000,3,0
tv (english),fubar,0,219250000,1,5500000
tv (english),lost in space,0,104120000,1,0
tv (english),lucifer,0,39880000,6,0
tv (english),the sandman,0,274220000,1,0
tv (english),the woman in the house across the street from the girl in the window,0,122580000,1,0
tv (english),too hot to handle,0,111680000,2,12000000
tv (english),top boy,0,71640000,4,9300000
tv (non-english),another self,0,71290000,2,0
tv (non-english),barbarians,0,44110000,2,0
tv (non-english),ganglands,0,54500000,4,0
tv (non-english),la reina del sur,0,153590000,1,0
tv (non-english),money heist korea joint economic area,0,98370000,1,0
tv (non-english),narcosaints,0,110690000,1,0
tv (non-english),pasión de gavilanes,0,55030000,3,0
tv (non-english),physical 100,0,95420000,1,0
tv (non-english),record of ragnarok,0,57210000,4,4500000
tv (non-english),sky rojo,0,42230000,3,0
tv (non-english),squid game,0,1083680000,1,0
tv (non-english),the seven deadly sins,0,57370000,2,0
films (english),a madea homecoming,0,67000000,1,0
films (english),bloodshot,0,28700000,4,0
films (english),luther the fallen sun,0,160160000,1,0
films (english),red notice,0,328480000,1,0
films (english),the good nurse,0,120150000,1,0
films (english),the noel diary,0,75480000,1,0
films (english),the school for good and evil,0,139810000,1,0
films (non-english),faithfully yours,0,44630000,1,2000000
films (non-english),friendzone,0,19290000,1,0
films (non-english),haseen dillruba,0,22010000,2,0
films (non-english),major grom plague doctor,0,54390000,1,0
films (non-english),no limit,0,44820000,1,0
films (non-english),someone borrowed,0,45700000,1,0
films (non-english),spoiled brats,0,52380000,1,0
films (non-english),troll,0,144400000,1,0
films (non-english),viking wolf,0,53460000,1,0
tv (english),dahmer,0,701370000,1,0
tv (english),good girls,0,78920000,2,0
tv (english),new amsterdam,0,47600000,8,0
tv (english),queen charlotte a bridgerton story,0,389350000,1,0
tv (english),raising dion,0,105900000,2,0
tv (english),the umbrella academy,0,239740000,1,0
tv (english),titans,0,60150000,2,2200000
tv (english),xo kitty,0,165690000,2,0
tv (non-english),dark desire,0,118340000,3,0
tv (non-english),hospital playlist,0,26100000,8,0
tv (non-english),love is blind brazil,0,39190000,5,2600000
tv (non-english),sintonia,0,59920000,3,8200000
tv (non-english),the queen of flow,0,116480000,1,0
tv (non-english),toy boy,0,57930000,3,0
